Using January 2024 Universe,


Cusip,ISIN,Description,Ticker,Coupon,Maturity,Composite Rating,Currency,Country,Sector Level 1,Sector Level 2,Sector Level 3,Sector Level 4,Type,Face Value,Price,Accrued Interest,% Weight,Cash,Duration To Worst,Yield to Worst,Effective Duration,Effective Yield,OAS vs Govt,Prior Month-End Price,Prior Month-End Accrued Interest,Prior Month-End % Weight,Prior Month-End Duration To Worst,Prior Month-End Yield To Worst,Prior Month-End Effective Duration,Prior Month-End Effective Yield,Prior Month-End OAS vs Govt,TRR % MTD LOC,Excess Rtn % MTD,Asset Swap Spread,Prior Month-End Asset Swap Spread,OAS vs Swap ,Prior Month-End OAS vs Swap,
'8828ILXX',XS2575555938,ABB Finance B.V.,ABBNVX,3.250,1/16/2027,A3,EUR,CH,Corporate,Industrials,Capital Goods,Diversified Capital Goods,SENR,500.0,100.752400,3.152055,0.01800,0.000000,2.689,2.980,2.755,2.932,71,101.126,3.116,0.01793,2.703,2.848,2.766,2.803,68,-0.324,-0.056,29,26,29,26,
'8828IZXX',XS2575556589,ABB Finance B.V.,ABBNVX,3.375,1/16/2031,A3,EUR,CH,Corporate,Industrials,Capital Goods,Diversified Capital Goods,SENR,750.0,101.372800,3.273288,0.02719,0.000000,5.798,3.148,5.982,3.100,111,102.460,3.236,0.02727,5.824,2.971,6.001,2.928,103,-0.993,-0.421,60,50,60,49,
'00287YBB',XS1520907814,AbbVie Inc.,ABBV,2.125,11/17/2028,A3,EUR,US,Corporate,Industrials,Healthcare,Pharmaceuticals,SENR,750.0,95.264800,0.284494,0.02483,0.000000,4.512,3.190,4.499,3.148,115,96.322,0.261,0.02492,4.535,2.945,4.505,2.901,101,-1.071,-0.612,63,47,65,48,
'00287YDP',XS2125914833,AbbVie Inc.,ABBV,2.625,11/15/2028,A3,EUR,US,Corporate,Industrials,Healthcare,Pharmaceuticals,SENR,427.8,97.496440,0.365779,0.01451,0.000000,4.465,3.188,4.430,3.134,114,98.290,0.337,0.01451,4.485,3.007,4.437,2.951,106,-0.775,-0.324,62,52,63,53,
'00287YDQ',XS2125914916,AbbVie Inc.,ABBV,2.125,6/1/2029,A3,EUR,US,Corporate,Industrials,Healthcare,Pharmaceuticals,SENR,506.1,94.471570,1.265710,0.01679,0.000000,4.929,3.255,4.929,3.215,124,95.461,1.242,0.01683,4.952,3.045,4.939,3.005,113,-0.999,-0.500,70,57,72,59,
'ZR655395',XS2055646918,AbbVie Inc.,ABBV,0.750,11/18/2027,A3,EUR,US,Corporate,Industrials,Healthcare,Pharmaceuticals,SENR,750.0,91.701500,0.098361,0.02386,0.000000,3.709,3.056,3.729,3.031,96,92.222,0.090,0.02381,3.725,2.898,3.737,2.874,91,-0.555,-0.179,47,40,50,42,
'ZR655396',XS2055647213,AbbVie Inc.,ABBV,1.250,11/18/2031,A3,EUR,US,Corporate,Industrials,Healthcare,Pharmaceuticals,SENR,650.0,86.011000,0.163934,0.01941,0.000000,7.259,3.297,7.346,3.267,125,87.324,0.150,0.01956,7.288,3.087,7.366,3.059,113,-1.485,-0.809,70,57,77,62,
'AL088523',ES0211845310,Abertis Infraestructuras SA,ABESM,1.000,2/27/2027,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,500.0,93.375210,0.854795,0.01632,0.000000,2.986,3.249,3.020,3.223,103,93.923,0.844,0.01630,3.003,3.048,3.034,3.025,94,-0.567,-0.268,59,49,62,51,
'AX729354',XS1967635977,Abertis Infraestructuras SA,ABESM,2.375,9/27/2027,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,1000.0,96.647000,0.648907,0.03371,0.000000,3.471,3.345,3.432,3.290,119,97.344,0.623,0.03370,3.489,3.137,3.435,3.078,108,-0.685,-0.343,72,60,74,61,
'AX729355',XS1967636199,Abertis Infraestructuras SA,ABESM,3.000,3/27/2031,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,1000.0,93.872000,2.327869,0.03333,0.000000,6.175,3.991,6.236,3.942,195,95.248,2.295,0.03355,6.207,3.761,6.256,3.713,181,-1.377,-0.786,139,124,145,128,
'AZ495660',XS2025466413,Abertis Infraestructuras SA,ABESM,0.625,7/15/2025,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,503.2,95.589400,0.297131,0.01672,0.000000,1.465,3.650,1.487,3.617,92,95.713,0.290,0.01662,1.477,3.541,1.497,3.510,92,-0.122,-0.018,49,47,52,50,
'AZ495661',XS2025480596,Abertis Infraestructuras SA,ABESM,1.625,7/15/2029,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,600.0,89.572600,0.772541,0.01878,0.000000,5.082,3.748,5.130,3.711,174,90.692,0.755,0.01887,5.106,3.503,5.143,3.468,160,-1.204,-0.686,114,99,123,105,
'BK164389',XS2195092601,Abertis Infraestructuras SA,ABESM,2.250,3/29/2029,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,900.0,92.630600,1.733606,0.02943,0.000000,4.711,3.830,4.740,3.786,181,93.845,1.709,0.02958,4.737,3.557,4.750,3.514,164,-1.245,-0.763,123,105,129,109,
'EK339879',ES0211845294,Abertis Infraestructuras SA,ABESM,2.500,2/27/2025,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,575.4,98.463400,2.136986,0.02006,0.000000,1.079,3.892,1.099,3.855,89,98.490,2.110,0.01991,1.089,3.854,1.110,3.818,96,0.000,0.053,48,52,50,54,
'LW076488',ES0211845302,Abertis Infraestructuras SA,ABESM,1.375,5/20/2026,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,894.9,96.046600,0.864071,0.03005,0.000000,2.259,3.128,2.283,3.104,81,96.504,0.849,0.02997,2.275,2.913,2.296,2.892,70,-0.455,-0.238,34,22,35,23,
'ZP794341',XS2113911387,Abertis Infraestructuras SA,ABESM,1.250,2/7/2028,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,600.0,91.292150,1.136986,0.01921,0.000000,3.823,3.576,3.857,3.543,149,92.119,1.123,0.01924,3.844,3.337,3.866,3.307,136,-0.872,-0.483,96,82,102,87,
'ZR655698',XS2055651918,Abertis Infraestructuras SA,ABESM,1.125,3/26/2028,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,850.0,90.673600,0.876025,0.02696,0.000000,3.963,3.542,4.001,3.510,147,91.568,0.864,0.02702,3.984,3.291,4.012,3.262,133,-0.954,-0.549,93,78,99,83,
'ZR655699',XS2055652056,Abertis Infraestructuras SA,ABESM,1.875,3/26/2032,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,650.0,85.259200,1.460041,0.01953,0.000000,7.225,4.015,7.348,3.973,194,86.580,1.440,0.01968,7.258,3.803,7.373,3.765,182,-1.477,-0.811,134,121,147,132,
'8ADRFZXX',XS2582860909,Abertis Infraestructuras SA,ABESM,4.125,8/7/2029,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,600.0,101.246000,3.747392,0.02183,0.000000,4.566,3.850,4.730,3.781,180,102.646,3.702,0.02195,4.594,3.561,4.744,3.502,162,-1.274,-0.799,129,109,128,107,
'8RLMNGXX',XS2644410214,Abertis Infraestructuras SA,ABESM,4.125,1/31/2028,BBB3,EUR,ES,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,500.0,101.879400,2.079452,0.01801,0.000000,3.554,3.612,3.624,3.564,150,102.815,2.034,0.01803,3.575,3.362,3.637,3.319,136,-0.849,-0.485,104,88,103,87,
'AQ688741',BE6301511034,Anheuser-Busch InBev N.V./S.A.,ABIBB,2.000,1/23/2035,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,750.0,88.311260,1.901370,0.02344,0.000000,9.424,3.278,9.565,3.238,105,89.581,1.879,0.02359,9.460,3.129,9.594,3.089,98,-1.364,-0.571,62,54,68,58,
'AQ688742',BE6301510028,Anheuser-Busch InBev N.V./S.A.,ABIBB,1.150,1/22/2027,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,2000.0,94.555600,1.093288,0.06628,0.000000,2.888,3.048,2.886,3.009,80,94.913,1.081,0.06604,2.903,2.913,2.894,2.873,77,-0.359,-0.076,37,32,38,34,
'AX890181',BE6312821612,Anheuser-Busch InBev N.V./S.A.,ABIBB,1.125,7/1/2027,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,1250.0,93.890000,0.577869,0.04091,0.000000,3.318,2.995,3.303,2.951,82,94.370,0.566,0.04082,3.334,2.837,3.312,2.792,77,-0.493,-0.164,36,30,38,31,
'AX890210',BE6312822628,Anheuser-Busch InBev N.V./S.A.,ABIBB,1.650,3/28/2031,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,1000.0,90.811000,1.275820,0.03191,0.000000,6.555,3.087,6.601,3.057,107,91.717,1.258,0.03198,6.578,2.936,6.617,2.907,101,-0.955,-0.330,53,45,57,48,
'BH449703',BE6320934266,Anheuser-Busch InBev N.V./S.A.,ABIBB,2.125,12/2/2027,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,1000.0,96.852400,0.197404,0.03363,0.000000,3.672,2.990,3.625,2.941,86,97.357,0.174,0.03355,3.688,2.847,3.630,2.795,82,-0.494,-0.130,39,33,40,34,
'BH449704',BE6320935271,Anheuser-Busch InBev N.V./S.A.,ABIBB,2.875,4/2/2032,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,1750.0,97.846340,2.183743,0.06065,0.000000,7.060,3.175,7.105,3.133,110,99.016,2.152,0.06090,7.089,3.010,7.128,2.969,102,-1.125,-0.479,61,51,62,52,
'BH449705',BE6320936287,Anheuser-Busch InBev N.V./S.A.,ABIBB,3.700,4/2/2040,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,1750.0,100.783000,2.810383,0.06281,0.000000,11.477,3.634,11.985,3.573,124,102.178,2.770,0.06317,11.531,3.517,12.037,3.460,120,-1.291,-0.309,97,92,98,92,
'EJ523596',BE6248644013,Anheuser-Busch InBev N.V./S.A.,ABIBB,3.250,1/24/2033,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,500.0,100.797800,3.080822,0.01800,0.000000,7.518,3.147,7.638,3.123,104,102.162,3.045,0.01809,7.552,2.974,7.670,2.952,96,-1.262,-0.594,60,49,60,49,
'EK148564',BE6265142099,Anheuser-Busch InBev N.V./S.A.,ABIBB,2.700,3/31/2026,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,1000.0,98.941490,2.065574,0.03500,0.000000,2.089,3.195,2.112,3.170,82,99.184,2.036,0.03482,2.103,3.078,2.124,3.055,81,-0.210,-0.014,37,35,37,35,
'JK482752',BE6285455497,Anheuser-Busch InBev N.V./S.A.,ABIBB,2.000,3/17/2028,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,3000.0,96.585600,1.606557,0.10207,0.000000,3.888,2.874,3.921,2.854,81,97.097,1.585,0.10183,3.904,2.739,3.934,2.720,78,-0.496,-0.099,33,27,33,28,
'JK482849',BE6285457519,Anheuser-Busch InBev N.V./S.A.,ABIBB,2.750,3/17/2036,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,2750.0,93.694800,2.209016,0.09138,0.000000,9.886,3.389,10.121,3.361,112,95.293,2.179,0.09220,9.933,3.222,10.166,3.196,104,-1.609,-0.768,75,65,78,67,
'EK855926',BE6276040431,Anheuser-Busch InBev N.V./S.A.,ABIBB,1.500,4/18/2030,A3,EUR,BE,Corporate,Industrials,Consumer Goods,Beverage,SENR,1250.0,91.180000,1.073771,0.03995,0.000000,5.785,3.063,5.841,3.040,108,91.962,1.057,0.03999,5.805,2.915,5.859,2.894,103,-0.823,-0.249,53,46,56,48,
'AS180185',XS1808739459,ABN AMRO Bank N.V.,ABNANV,0.875,4/22/2025,A1,EUR,NL,Corporate,Financial,Banking,Banking,SENR,750.0,96.462800,0.616803,0.02523,0.000000,1.240,3.720,1.260,3.686,84,96.680,0.607,0.02510,1.253,3.518,1.272,3.488,75,-0.213,-0.140,42,31,45,33,
'BJ633155',XS2180510732,ABN AMRO Bank N.V.,ABNANV,1.250,5/28/2025,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1250.0,96.625400,0.758197,0.04218,0.000000,1.334,3.767,1.352,3.732,96,96.911,0.745,0.04199,1.348,3.529,1.364,3.499,84,-0.279,-0.193,54,39,57,42,
'ZP353553',XS2102283061,ABN AMRO Bank N.V.,ABNANV,0.600,1/15/2027,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1250.0,91.694000,0.583562,0.03997,0.000000,2.887,3.541,2.924,3.510,130,92.258,0.577,0.03991,2.905,3.320,2.938,3.293,118,-0.600,-0.312,84,72,89,76,
'ZS090332',XS1982037696,ABN AMRO Bank N.V.,ABNANV,0.500,4/15/2026,A1,EUR,NL,Corporate,Financial,Banking,Banking,SENR,750.0,94.237000,0.362022,0.02458,0.000000,2.191,3.163,2.214,3.139,81,94.607,0.357,0.02450,2.206,2.974,2.227,2.952,73,-0.384,-0.174,35,26,36,27,
'EK850977',XS1218821756,ABN AMRO Bank N.V.,ABNANV,1.000,4/16/2025,A1,EUR,NL,Corporate,Financial,Banking,Banking,SENR,1450.0,96.844200,0.721311,0.04902,0.000000,1.225,3.566,1.244,3.534,68,97.024,0.710,0.04874,1.237,3.395,1.255,3.366,62,-0.173,-0.102,26,18,29,20,
'74DVFPXX',XS2434787235,ABN AMRO Bank N.V.,ABNANV,1.250,1/20/2034,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1000.0,79.503200,1.198630,0.02796,0.000000,8.943,3.735,9.134,3.701,157,80.954,1.185,0.02825,8.980,3.534,9.168,3.503,145,-1.750,-0.993,102,90,117,102,
'6BRTUBXX',XS2348638433,ABN AMRO Bank N.V.,ABNANV,1.000,6/2/2033,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1000.0,81.201000,0.592896,0.02834,0.000000,8.620,3.363,8.773,3.336,124,82.713,0.582,0.02865,8.655,3.149,8.804,3.124,111,-1.803,-1.054,72,59,82,66,
'6PYVN2XX',XS2389343380,ABN AMRO Bank N.V.,ABNANV,0.500,9/23/2029,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1000.0,83.830000,0.142076,0.02909,0.000000,5.433,3.688,5.499,3.655,170,84.903,0.137,0.02925,5.457,3.449,5.517,3.420,156,-1.255,-0.703,106,92,118,101,
'7JZLZ4XX',XS2487054004,ABN AMRO Bank N.V.,ABNANV,2.375,6/1/2027,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,750.0,96.410000,1.414618,0.02542,0.000000,3.154,3.508,3.191,3.477,133,97.268,1.389,0.02545,3.175,3.228,3.206,3.203,116,-0.843,-0.527,87,70,90,71,
'7JZLZ5XX',XS2487054939,ABN AMRO Bank N.V.,ABNANV,3.000,6/1/2032,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,750.0,95.989200,1.786885,0.02541,0.000000,7.145,3.558,7.262,3.527,148,97.486,1.754,0.02560,7.180,3.345,7.292,3.318,136,-1.475,-0.820,99,85,102,87,
'82JT7EXX',XS2558022591,ABN AMRO Bank N.V.,ABNANV,5.125,2/22/2028,BBB2,EUR,NL,Corporate,Financial,Banking,Banking,T2,1000.0,101.911600,4.451027,0.03685,0.000000,3.511,4.604,3.500,4.404,236,102.829,4.395,0.03688,3.532,4.361,3.491,4.166,223,-0.803,-0.443,195,181,189,174,
'828MIZXX',XS2557084733,ABN AMRO Bank N.V.,ABNANV,4.500,11/21/2034,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1000.0,105.173800,0.553279,0.03663,0.000000,8.519,3.906,8.714,3.868,170,107.298,0.504,0.03708,8.571,3.673,8.762,3.640,156,-1.925,-1.191,135,118,132,114,
'7ZM9XZXX',XS2536941656,ABN AMRO Bank N.V.,ABNANV,4.250,2/21/2030,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1250.0,102.624200,3.702740,0.04605,0.000000,5.147,3.762,5.220,3.727,175,103.831,3.656,0.04621,5.175,3.544,5.243,3.513,163,-1.079,-0.565,125,111,123,109,
'87ELIZXX',XS2573331324,ABN AMRO Bank N.V.,ABNANV,3.625,1/10/2026,A1,EUR,NL,Corporate,Financial,Banking,Banking,SENR,750.0,100.393800,3.575342,0.02702,0.000000,1.847,3.419,1.872,3.390,94,100.772,3.536,0.02691,1.862,3.224,1.885,3.199,85,-0.325,-0.155,52,42,52,42,
'87XBWLXX',XS2575971994,ABN AMRO Bank N.V.,ABNANV,4.000,1/16/2028,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1000.0,101.645000,3.879452,0.03656,0.000000,3.539,3.554,3.581,3.523,145,102.528,3.836,0.03659,3.560,3.320,3.598,3.293,133,-0.789,-0.430,99,85,98,84,
'8I076ZXX',XS2613658470,ABN AMRO Bank N.V.,ABNANV,3.750,4/20/2025,A1,EUR,NL,Corporate,Financial,Banking,Banking,SENR,1500.0,100.130400,2.663934,0.05342,0.000000,1.210,3.634,1.229,3.601,75,100.350,2.623,0.05313,1.222,3.459,1.240,3.430,69,-0.174,-0.104,34,25,36,27,
'8I0770XX',XS2613658710,ABN AMRO Bank N.V.,ABNANV,4.375,10/20/2028,BBB1,EUR,NL,Corporate,Financial,Banking,Banking,SNPR,1250.0,102.586200,0.920423,0.04483,0.000000,4.236,3.770,4.291,3.735,172,103.655,0.873,0.04494,4.259,3.529,4.308,3.499,159,-0.977,-0.540,125,109,123,107,
'8PXIXIXX',XS2637963146,ABN AMRO Bank N.V.,ABNANV,3.875,12/21/2026,A1,EUR,NL,Corporate,Financial,Banking,Banking,SENR,1000.0,101.546200,0.158811,0.03524,0.000000,2.758,3.317,2.792,3.290,105,102.015,0.116,0.03513,2.773,3.153,2.805,3.129,99,-0.418,-0.145,65,58,64,57,
'8PXIXLXX',XS2637967139,ABN AMRO Bank N.V.,ABNANV,5.500,9/21/2028,BBB2,EUR,NL,Corporate,Financial,Banking,Banking,T2,750.0,103.538000,1.592896,0.02732,0.000000,4.039,4.640,5.298,4.229,212,104.572,1.533,0.02737,4.062,4.400,5.232,4.034,201,-0.918,-0.425,158,145,161,147,
'AU539766',XS1883355197,Abbott Ireland Financing Designated Activity Company,ABT,1.500,9/27/2026,AA3,EUR,US,Corporate,Industrials,Healthcare,Medical Products,SENR,1140.0,96.085880,0.409836,0.03812,0.000000,2.603,3.015,2.588,2.977,74,96.470,0.393,0.03798,2.618,2.857,2.594,2.817,68,-0.380,-0.130,28,22,29,22,
'ZQ616019',XS2076155105,Abbott Ireland Financing Designated Activity Company,ABT,0.375,11/19/2027,AA3,EUR,US,Corporate,Industrials,Healthcare,Medical Products,SENR,590.0,91.014000,0.048156,0.01861,0.000000,3.741,2.860,3.761,2.838,77,91.594,0.044,0.01860,3.758,2.684,3.772,2.664,70,-0.628,-0.249,29,20,31,21,
'AL688676',XS1538284230,Credit Agricole S.A. London Branch,ACAFP,1.875,12/20/2026,A2,EUR,FR,Corporate,Financial,Banking,Banking,SNPR,1500.0,95.485000,0.081967,0.04967,0.000000,2.802,3.509,2.838,3.479,125,96.204,0.061,0.04967,2.820,3.237,2.852,3.211,108,-0.725,-0.447,81,65,84,66,
